H. sapiens,C. elegans,D. melanogaster
83.46,86.75,81.63
83.46,86.75,81.63
83.46,86.75,81.63
83.46,86.76,81.64
83.46,86.76,81.64
83.46,86.78,81.64
83.46,86.78,81.64
83.46,86.79,81.64
83.46,86.79,81.64
83.47,86.8,81.64
83.47,86.8,81.65
83.47,86.8,81.65
83.47,86.81,81.65
83.47,86.81,81.65
83.47,86.81,81.65
83.47,86.83,81.66
83.47,86.84,81.66
83.47,86.84,81.66
83.47,86.84,81.66
83.47,86.84,81.66
83.47,86.85,81.66
83.47,86.86,81.66
83.48,86.86,81.66
83.48,86.86,81.67
83.48,86.88,81.67
83.48,86.89,81.67
83.48,86.89,81.67
83.48,86.9,81.67
83.48,86.9,81.67
83.48,86.9,81.68
83.48,86.9,81.68
83.48,86.9,81.68
83.49,86.91,81.68
83.49,86.93,81.68
83.49,86.93,81.68
83.49,86.93,81.68
83.49,86.93,81.68
83.49,86.94,81.68
83.49,86.95,81.68
83.49,86.95,81.69
83.49,86.95,81.69
83.5,86.96,81.69
83.5,86.96,81.69
83.5,86.96,81.69
83.5,86.97,81.69
83.5,86.98,81.7
83.5,86.98,81.7
83.5,86.98,81.7
83.5,87,81.7
83.51,87,81.7
83.51,87.01,81.7
83.51,87.02,81.7
83.51,87.02,81.7
83.51,87.02,81.7
83.51,87.03,81.7
83.51,87.03,81.71
83.52,87.03,81.71
83.52,87.03,81.71
83.52,87.03,81.71
83.52,87.04,81.71
83.52,87.04,81.71
83.52,87.04,81.71
83.52,87.05,81.71
83.52,87.05,81.71
83.52,87.05,81.72
83.52,87.06,81.72
83.52,87.06,81.72
83.52,87.06,81.72
83.52,87.06,81.72
83.53,87.06,81.72
83.53,87.07,81.72
83.53,87.08,81.72
83.53,87.09,81.72
83.53,87.09,81.72
83.53,87.09,81.72
83.53,87.09,81.72
83.53,87.11,81.72
83.53,87.11,81.72
83.53,87.12,81.73
83.53,87.12,81.73
83.53,87.12,81.73
83.54,87.12,81.73
83.54,87.12,81.73
83.54,87.13,81.73
83.54,87.13,81.73
83.54,87.13,81.73
83.54,87.14,81.74
83.54,87.14,81.74
83.54,87.14,81.74
83.54,87.14,81.74
83.54,87.15,81.74
83.55,87.15,81.74
83.55,87.15,81.74
83.55,87.17,81.74
83.55,87.17,81.74
83.55,87.18,81.74
83.55,87.18,81.74
83.55,87.18,81.74
83.55,87.18,81.75
83.55,87.18,81.75
83.55,87.18,81.75
83.55,87.18,81.75
83.55,87.18,81.75
83.55,87.18,81.76
83.55,87.19,81.76
83.55,87.19,81.76
83.55,87.19,81.76
83.56,87.19,81.76
83.56,87.19,81.76
83.56,87.19,81.76
83.56,87.19,81.77
83.56,87.19,81.77
83.56,87.2,81.77
83.56,87.2,81.77
83.56,87.21,81.77
83.57,87.21,81.77
83.57,87.21,81.77
83.57,87.21,81.77
83.57,87.22,81.77
83.57,87.22,81.77
83.57,87.22,81.77
83.57,87.23,81.77
83.57,87.23,81.77
83.57,87.24,81.77
83.57,87.24,81.77
83.57,87.24,81.78
83.57,87.26,81.78
83.58,87.26,81.78
83.58,87.27,81.78
83.58,87.27,81.78
83.58,87.28,81.78
83.58,87.28,81.78
83.58,87.28,81.78
83.58,87.28,81.78
83.58,87.28,81.79
83.58,87.29,81.79
83.58,87.3,81.79
83.58,87.3,81.79
83.58,87.3,81.79
83.58,87.31,81.79
83.58,87.31,81.79
83.58,87.31,81.79
83.58,87.32,81.79
83.58,87.32,81.8
83.59,87.32,81.8
83.59,87.32,81.8
83.59,87.32,81.8
83.59,87.32,81.8
83.59,87.32,81.8
83.59,87.33,81.8
83.59,87.33,81.8
83.59,87.33,81.8
83.59,87.33,81.81
83.59,87.34,81.81
83.59,87.34,81.81
83.59,87.34,81.81
83.59,87.34,81.81
83.59,87.34,81.81
83.6,87.34,81.81
83.6,87.34,81.81
83.6,87.35,81.81
83.6,87.36,81.81
83.6,87.36,81.81
83.61,87.36,81.81
83.61,87.36,81.82
83.61,87.36,81.82
83.61,87.37,81.82
83.61,87.38,81.82
83.61,87.38,81.82
83.61,87.38,81.83
83.61,87.38,81.83
83.61,87.38,81.83
83.61,87.39,81.83
83.61,87.39,81.83
83.61,87.39,81.84
83.62,87.4,81.84
83.62,87.4,81.84
83.62,87.4,81.84
83.62,87.4,81.84
83.62,87.41,81.84
83.62,87.42,81.84
83.62,87.42,81.84
83.62,87.42,81.84
83.62,87.44,81.84
83.62,87.44,81.84
83.62,87.45,81.84
83.62,87.45,81.85
83.62,87.45,81.85
83.63,87.45,81.85
83.63,87.45,81.85
83.63,87.45,81.85
83.63,87.46,81.85
83.63,87.46,81.86
83.63,87.46,81.86
83.63,87.46,81.86
83.63,87.46,81.86
83.63,87.47,81.86
83.63,87.47,81.86
83.63,87.48,81.86
83.64,87.48,81.87
83.64,87.48,81.87
83.64,87.49,81.87
83.64,87.49,81.87
83.64,87.49,81.87
83.64,87.5,81.87
