,len,species,positive,abslen
277,2987.0,H. sapiens,True,2987.0
278,1592.0,H. sapiens,True,1592.0
279,1330.0,H. sapiens,True,1330.0
280,1318.0,H. sapiens,True,1318.0
281,1194.0,H. sapiens,True,1194.0
282,1634.0,H. sapiens,True,1634.0
283,1129.0,H. sapiens,True,1129.0
284,1008.0,H. sapiens,True,1008.0
285,1269.0,H. sapiens,True,1269.0
286,-1983.0,H. sapiens,False,1983.0
287,-2191.0,H. sapiens,False,2191.0
288,1457.0,H. sapiens,True,1457.0
289,-1225.0,H. sapiens,False,1225.0
290,1004.0,H. sapiens,True,1004.0
291,1469.0,H. sapiens,True,1469.0
292,2194.0,H. sapiens,True,2194.0
293,1752.0,H. sapiens,True,1752.0
294,1781.0,H. sapiens,True,1781.0
295,1939.0,H. sapiens,True,1939.0
296,2109.0,H. sapiens,True,2109.0
297,1025.0,H. sapiens,True,1025.0
298,2841.0,H. sapiens,True,2841.0
299,2556.0,H. sapiens,True,2556.0
300,1193.0,H. sapiens,True,1193.0
301,6859.0,H. sapiens,True,6859.0
302,4377.0,H. sapiens,True,4377.0
303,3784.0,H. sapiens,True,3784.0
304,1180.0,H. sapiens,True,1180.0
305,1348.0,H. sapiens,True,1348.0
306,1263.0,H. sapiens,True,1263.0
307,2902.0,H. sapiens,True,2902.0
308,4425.0,H. sapiens,True,4425.0
309,1504.0,H. sapiens,True,1504.0
310,2804.0,H. sapiens,True,2804.0
311,1377.0,H. sapiens,True,1377.0
312,6609.0,H. sapiens,True,6609.0
313,1421.0,H. sapiens,True,1421.0
314,1038.0,H. sapiens,True,1038.0
315,1228.0,H. sapiens,True,1228.0
316,1165.0,H. sapiens,True,1165.0
317,1193.0,H. sapiens,True,1193.0
318,1121.0,H. sapiens,True,1121.0
319,1290.0,H. sapiens,True,1290.0
320,1201.0,H. sapiens,True,1201.0
321,188056468.0,H. sapiens,True,188056468.0
322,-188061917.0,H. sapiens,False,188061917.0
323,1094.0,H. sapiens,True,1094.0
324,1083.0,H. sapiens,True,1083.0
325,1492.0,H. sapiens,True,1492.0
326,2141.0,H. sapiens,True,2141.0
327,3441.0,H. sapiens,True,3441.0
328,2838.0,H. sapiens,True,2838.0
329,1729.0,H. sapiens,True,1729.0
330,3390.0,H. sapiens,True,3390.0
331,1924.0,H. sapiens,True,1924.0
332,9840.0,H. sapiens,True,9840.0
333,4071.0,H. sapiens,True,4071.0
334,6423.0,H. sapiens,True,6423.0
335,3902.0,H. sapiens,True,3902.0
336,2995.0,H. sapiens,True,2995.0
337,-3221.0,H. sapiens,False,3221.0
338,1318.0,H. sapiens,True,1318.0
339,1046.0,H. sapiens,True,1046.0
340,1599.0,H. sapiens,True,1599.0
341,1541.0,H. sapiens,True,1541.0
342,1201.0,H. sapiens,True,1201.0
343,3261.0,H. sapiens,True,3261.0
344,1569.0,H. sapiens,True,1569.0
345,1356.0,H. sapiens,True,1356.0
346,1279.0,H. sapiens,True,1279.0
347,1068.0,H. sapiens,True,1068.0
348,1074.0,H. sapiens,True,1074.0
349,1243.0,H. sapiens,True,1243.0
350,2151.0,H. sapiens,True,2151.0
351,5444.0,H. sapiens,True,5444.0
352,1035.0,H. sapiens,True,1035.0
353,1149.0,H. sapiens,True,1149.0
354,2734.0,H. sapiens,True,2734.0
355,1094.0,H. sapiens,True,1094.0
356,1294.0,H. sapiens,True,1294.0
357,1324.0,H. sapiens,True,1324.0
358,1236.0,H. sapiens,True,1236.0
359,1656.0,H. sapiens,True,1656.0
360,1506.0,H. sapiens,True,1506.0
361,1094.0,H. sapiens,True,1094.0
362,5053.0,H. sapiens,True,5053.0
363,1104.0,H. sapiens,True,1104.0
364,1676.0,H. sapiens,True,1676.0
365,1398.0,H. sapiens,True,1398.0
366,1744.0,H. sapiens,True,1744.0
367,2893.0,H. sapiens,True,2893.0
368,-2227.0,H. sapiens,False,2227.0
369,1370.0,H. sapiens,True,1370.0
370,2789.0,H. sapiens,True,2789.0
371,2879.0,H. sapiens,True,2879.0
372,1609.0,H. sapiens,True,1609.0
373,3425.0,H. sapiens,True,3425.0
374,3681.0,H. sapiens,True,3681.0
375,2943.0,H. sapiens,True,2943.0
376,5834.0,H. sapiens,True,5834.0
377,1714.0,H. sapiens,True,1714.0
378,3510.0,H. sapiens,True,3510.0
379,1213.0,H. sapiens,True,1213.0
380,1632.0,H. sapiens,True,1632.0
381,2101.0,H. sapiens,True,2101.0
382,2154.0,H. sapiens,True,2154.0
383,1327.0,H. sapiens,True,1327.0
384,4527.0,H. sapiens,True,4527.0
385,3154.0,H. sapiens,True,3154.0
386,1126.0,H. sapiens,True,1126.0
387,2468.0,H. sapiens,True,2468.0
388,1627.0,H. sapiens,True,1627.0
389,1793.0,H. sapiens,True,1793.0
390,1984.0,H. sapiens,True,1984.0
391,1085.0,H. sapiens,True,1085.0
392,1797.0,H. sapiens,True,1797.0
393,2093.0,H. sapiens,True,2093.0
394,5320.0,H. sapiens,True,5320.0
395,1547.0,H. sapiens,True,1547.0
396,1156.0,H. sapiens,True,1156.0
397,1948.0,H. sapiens,True,1948.0
398,2643.0,H. sapiens,True,2643.0
399,1541.0,H. sapiens,True,1541.0
400,2839.0,H. sapiens,True,2839.0
401,1135.0,H. sapiens,True,1135.0
402,1407.0,H. sapiens,True,1407.0
403,3114.0,H. sapiens,True,3114.0
404,1353.0,H. sapiens,True,1353.0
405,1090.0,H. sapiens,True,1090.0
406,3025.0,H. sapiens,True,3025.0
407,1622.0,H. sapiens,True,1622.0
408,1176.0,H. sapiens,True,1176.0
409,2135.0,H. sapiens,True,2135.0
410,1130.0,H. sapiens,True,1130.0
411,1658.0,H. sapiens,True,1658.0
412,1285.0,H. sapiens,True,1285.0
413,2823.0,H. sapiens,True,2823.0
414,1047.0,H. sapiens,True,1047.0
415,1134.0,H. sapiens,True,1134.0
416,3436.0,H. sapiens,True,3436.0
417,11519.0,H. sapiens,True,11519.0
418,1214.0,H. sapiens,True,1214.0
419,2419.0,H. sapiens,True,2419.0
420,1005.0,H. sapiens,True,1005.0
421,2352.0,H. sapiens,True,2352.0
422,1253.0,H. sapiens,True,1253.0
423,1454.0,H. sapiens,True,1454.0
424,1393.0,H. sapiens,True,1393.0
425,1305.0,H. sapiens,True,1305.0
426,-1995.0,H. sapiens,False,1995.0
427,2191.0,H. sapiens,True,2191.0
428,6234.0,H. sapiens,True,6234.0
429,2030.0,H. sapiens,True,2030.0
430,1526.0,H. sapiens,True,1526.0
431,1776.0,H. sapiens,True,1776.0
432,1889.0,H. sapiens,True,1889.0
433,1545.0,H. sapiens,True,1545.0
434,1470.0,H. sapiens,True,1470.0
435,3992.0,H. sapiens,True,3992.0
436,1115.0,H. sapiens,True,1115.0
437,1397.0,H. sapiens,True,1397.0
438,1480.0,H. sapiens,True,1480.0
439,-51811947.0,H. sapiens,False,51811947.0
440,51808996.0,H. sapiens,True,51808996.0
441,1834.0,H. sapiens,True,1834.0
442,2687.0,H. sapiens,True,2687.0
443,4122.0,H. sapiens,True,4122.0
444,6714.0,H. sapiens,True,6714.0
445,1222.0,H. sapiens,True,1222.0
